Date,Open,High,Low,Close,Adj Close,Volume
2018-02-22,192.113,194.551,191.668,193.946,193.946,376611.87313859
2018-02-23,195.462,197.858,194.937,197.363,197.363,320262.65639293
2018-02-26,198.007,199.245,195.58,197.7,197.7,297678.54458203
2018-02-27,197.7,198.463,195.234,195.352,195.352,233102.60470353
2018-02-28,195.749,196.631,192.451,192.599,192.599,389910.1267447
2018-03-01,193.441,193.441,184.072,184.755,184.755,645414.09450031
2018-03-02,183.329,186.686,180.14,186.221,186.221,522813.90919704
2018-03-05,185.181,188.598,184.092,187.429,187.429,367784.40132338
2018-03-06,188.202,190.955,187.023,190.718,190.718,299673.63600452
2018-03-07,189.132,193.124,188.211,192.253,192.253,344927.68086668
2018-03-08,193.639,194.471,192.293,193.887,193.887,274502.77104359
2018-03-09,194.828,197.373,194.441,197.175,197.175,180582.02493869
2018-03-12,197.62,200.543,197.402,199.166,199.166,237072.5943155
2018-03-13,199.8,201.78,198.928,199.75,199.75,248827.07525714
2018-03-14,201.037,201.037,196.491,199.72,199.72,340964.75888628
2018-03-15,199.7,200.245,198.046,198.987,198.987,279835.8038845
2018-03-16,191.827,200.979,188.261,199.632,199.632,690626.74323477
2018-03-19,199.364,199.364,195.352,196.491,196.491,224183.25367807
2018-03-20,196.541,198.928,194.897,197.274,197.274,272158.33668984
2018-03-21,197.948,200.404,197.818,198.829,198.829,198860.93946948
2018-03-22,196.937,199.176,193.897,193.917,193.917,338597.10231454
2018-03-23,193.817,195.115,190.608,190.767,190.767,353621.87734396
2018-03-26,192.698,194.313,189.301,192.559,192.559,394580.82154251
2018-03-27,193.708,193.708,189.004,189.955,189.955,429201.10989571
2018-03-28,190.816,191.43,187.755,188.904,188.904,295107.94601842
2018-03-29,190.005,193.619,189.321,192.847,192.847,468375.98195684
2018-04-02,192.441,193.144,186.974,188.706,188.706,608913.81615284
2018-04-03,189.875,193.342,186.558,192.55,192.55,360946.9726224
2018-04-04,188.568,194.441,188.43,194.135,194.135,404011.06136342
2018-04-05,195.55,196.461,192.223,193.55,193.55,338173.04442109
2018-04-06,191.47,193.074,186.904,188.608,188.608,421204.58961931
2018-04-09,190.638,190.946,187.459,187.805,187.805,291535.76309697
2018-04-10,189.826,192.886,188.766,189.647,189.647,430522.75699694
2018-04-11,188.608,189.816,186.25,188.301,188.301,270508.549552
